ts_utc,container,cpu_pct,mem_bytes,mem_pct,host
2026-09-20T23:23:37Z,egw-ditto-gateway-1,20.78,554082304,68.80,egw-qemu-integrated
2026-09-20T23:23:37Z,egw-ditto-policies-1,13.75,533069824,66.19,egw-qemu-integrated
2026-09-20T23:23:37Z,egw-controller-1,0.93,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:37Z,egw-mosquitto-1,0.13,4349952,3.24,egw-qemu-integrated
2026-09-20T23:23:38Z,egw-ditto-things-1,15.58,534589440,66.38,egw-qemu-integrated
2026-09-20T23:23:38Z,egw-mongodb-1,2.82,254734336,47.45,egw-qemu-integrated
2026-09-20T23:23:38Z,egw-ditto-gateway-1,13.66,554098688,68.81,egw-qemu-integrated
2026-09-20T23:23:38Z,egw-ditto-policies-1,9.34,533069824,66.19,egw-qemu-integrated
2026-09-20T23:23:38Z,egw-controller-1,0.88,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:38Z,egw-mosquitto-1,0.15,4349952,3.24,egw-qemu-integrated
2026-09-20T23:23:39Z,egw-ditto-things-1,41.29,534589440,66.38,egw-qemu-integrated
2026-09-20T23:23:39Z,egw-mongodb-1,2.49,254734336,47.45,egw-qemu-integrated
2026-09-20T23:23:39Z,egw-ditto-gateway-1,21.79,554106880,68.81,egw-qemu-integrated
2026-09-20T23:23:39Z,egw-ditto-policies-1,14.53,533078016,66.20,egw-qemu-integrated
2026-09-20T23:23:39Z,egw-controller-1,1.04,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:39Z,egw-mosquitto-1,10.94,5476352,4.08,egw-qemu-integrated
2026-09-20T23:23:40Z,egw-ditto-things-1,68.29,534626304,66.39,egw-qemu-integrated
2026-09-20T23:23:40Z,egw-mongodb-1,2.99,254734336,47.45,egw-qemu-integrated
2026-09-20T23:23:40Z,egw-ditto-gateway-1,38.17,554397696,68.84,egw-qemu-integrated
2026-09-20T23:23:40Z,egw-ditto-policies-1,28.73,533106688,66.20,egw-qemu-integrated
2026-09-20T23:23:40Z,egw-controller-1,1.02,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:40Z,egw-mosquitto-1,50.84,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:41Z,egw-ditto-things-1,12.15,534626304,66.39,egw-qemu-integrated
2026-09-20T23:23:41Z,egw-mongodb-1,2.19,254734336,47.45,egw-qemu-integrated
2026-09-20T23:23:41Z,egw-ditto-gateway-1,13.19,554143744,68.81,egw-qemu-integrated
2026-09-20T23:23:41Z,egw-ditto-policies-1,10.50,533110784,66.20,egw-qemu-integrated
2026-09-20T23:23:41Z,egw-controller-1,0.85,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:41Z,egw-mosquitto-1,0.12,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:42Z,egw-ditto-things-1,68.01,534654976,66.39,egw-qemu-integrated
2026-09-20T23:23:42Z,egw-mongodb-1,23.68,254734336,47.45,egw-qemu-integrated
2026-09-20T23:23:42Z,egw-ditto-gateway-1,90.27,554147840,68.81,egw-qemu-integrated
2026-09-20T23:23:42Z,egw-ditto-policies-1,40.22,533110784,66.20,egw-qemu-integrated
2026-09-20T23:23:42Z,egw-controller-1,3.42,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:42Z,egw-mosquitto-1,0.38,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:43Z,egw-ditto-things-1,40.82,534654976,66.39,egw-qemu-integrated
2026-09-20T23:23:43Z,egw-mongodb-1,2.26,254734336,47.45,egw-qemu-integrated
2026-09-20T23:23:43Z,egw-ditto-gateway-1,41.37,554156032,68.81,egw-qemu-integrated
2026-09-20T23:23:43Z,egw-ditto-policies-1,19.00,533106688,66.20,egw-qemu-integrated
2026-09-20T23:23:43Z,egw-controller-1,0.90,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:43Z,egw-mosquitto-1,0.57,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:44Z,egw-ditto-things-1,26.10,534663168,66.39,egw-qemu-integrated
2026-09-20T23:23:44Z,egw-mongodb-1,3.72,254734336,47.45,egw-qemu-integrated
2026-09-20T23:23:44Z,egw-ditto-gateway-1,16.86,554160128,68.81,egw-qemu-integrated
2026-09-20T23:23:44Z,egw-ditto-policies-1,107.31,533127168,66.20,egw-qemu-integrated
2026-09-20T23:23:44Z,egw-controller-1,1.16,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:44Z,egw-mosquitto-1,0.14,4337664,3.23,egw-qemu-integrated
